10.04 CB UBERBV 09/04/17 10.04.17, ,4.37, , ,10/4/2017
10.04 CB RETRAIT DU 06/04/17 ATM ALPH 10.04.17, ,200, , ,10/4/2017
10.04 PRLV SEPA SFR 10.04.17, ,35.54, , ,10/4/2017
12.04 CB RETRAIT DU 08/04/17 PIRAEUS 12.04.17, ,200, , ,12/4/2017
13.04 CB RETRAIT DU 11/04/17 ATM ALPH 13.04.17, ,201, , ,13/4/2017
14.04 CB UBERBV 13/04/17 14.04.17, ,4.67, , ,14/4/2017
18.04 CB RETRAIT DU 16/04 18.04.17, ,181, , ,18/4/2017
18.04 CB SNCF 15/04/17 18.04.17, ,10, , ,18/4/2017
18.04 CB CHEZ LES FILLES 16/04/17 18.04.17, ,41.8, , ,18/4/2017
18.04 CB PERE ET FILS 16/04/17 18.04.17, ,17, , ,18/4/2017
18.04 CB L'ESSENTIEL B. 16/04/17 18.04.17, ,12.55, , ,18/4/2017
18.04 CB BOUIGAGANE 16/04/17 18.04.17, ,28.65, , ,18/4/2017
18.04 CB LA ROSE DE TUNIS 16/04/17 18.04.17, ,6, , ,18/4/2017
19.04 CB ILE AUX SINGES 18/04/17 19.04.17, ,24, , ,19/4/2017
19.04 CB DELIVEROOFR 17/04/17 19.04.17, ,11.3, , ,19/4/2017
19.04 CB GARAGE RESIDENCE 18/04/17 19.04.17, ,48.31, , ,19/4/2017
19.04 CB BRICORAMA 18/04/17 19.04.17, ,15.65, , ,19/4/2017
19.04 CB DARTY 09 18/04/17 19.04.17, ,34.99, , ,19/4/2017
19.04 CB ILE AUX SINGES 18/04/17 19.04.17, ,12, , ,19/4/2017
19.04 CB AMENDE RADAR TEL 18/04/17 19.04.17, ,90, , ,19/4/2017
21.04 CB A2PAS BLANQ MA 20/04/17 21.04.17, ,7.12, , ,21/4/2017
21.04 VIREMENT ADIDOR VOITURES 21.04.17, ,             1 500.00, , ,21/4/2017
24.04 CB RETRAIT DU 22/04 LCL PARIS ITALIE 24.04.17, ,20, , ,24/4/2017
24.04 CB CARREFOURMARKET 19/04/17 24.04.17, ,33.16, , ,24/4/2017
24.04 CB VIAGOGO EVENT TI 21/04/17 24.04.17, ,91.01, , ,24/4/2017
