08.03 CB CARREFOURMARKET 06/03/17 08.03.17, ,52.56, , ,8/3/2017
09.03 CB RETRAIT DU 08/03 PARIS CORVISART 09.03.17, ,20, , ,9/3/2017
09.03 CB REST L ESPERANCE 08/03/17 09.03.17, ,20.5, , ,9/3/2017
09.03 CB LOMMIS ALINE 08/03/17 09.03.17, ,5.9, , ,9/3/2017
09.03 PRLV SEPA SFR 09.03.17, ,26.98, , ,9/3/2017
10.03 CB ARRET GALETTE 09/03/17 10.03.17, ,15, , ,10/3/2017
10.03 CB CARREFOURMARKET 08/03/17 10.03.17, ,40.29, , ,10/3/2017
13.03 CB RETRAIT DU 12/03 PARIS 13 13.03.17, ,20, , ,13/3/2017
13.03 CB UBER 11/03/17 13.03.17, ,10.43, , ,13/3/2017
13.03 CB CHEZ LES FILLES 10/03/17 13.03.17, ,20.9, , ,13/3/2017
13.03 CB M GALLET THIERRY 12/03/17 13.03.17, ,23.98, , ,13/3/2017
13.03 CB L'ESSENTIEL B. 12/03/17 13.03.17, ,5.9, , ,13/3/2017
13.03 CB CHEZ LES FILLES 11/03/17 13.03.17, ,7, , ,13/3/2017
14.03 CB LOMMIS ALINE 13/03/17 14.03.17, ,12.8, , ,14/3/2017
16.03 CB RETRAIT DU 15/03 VENOY 16.03.17, ,20, , ,16/3/2017
16.03 CB BP VALLEIRY NORD 15/03/17 16.03.17, ,7.7, , ,16/3/2017
17.03 CB ESSO EXPRESS 16/03/17 17.03.17, ,44.8, , ,17/3/2017
17.03 CB SUMUP *DELI MEX 15/03/17 17.03.17, ,17.15, , ,17/3/2017
17.03 CB RESTAURANT HUNGK 15/03/17 17.03.17, ,16.22, , ,17/3/2017
20.03 CB RETRAIT DU 17/03 20.03.17, ,21, , ,20/3/2017
20.03 CB PARKING PYRAMIDE 18/03/17 20.03.17, ,4, , ,20/3/2017
20.03 CB PALEXPO SA 15/03/17 20.03.17, ,13.44, , ,20/3/2017
20.03 CB L'ESSENTIEL B. 18/03/17 20.03.17, ,18.1, , ,20/3/2017
20.03 CB CARREFOURMARKET 16/03/17 20.03.17, ,29.85, , ,20/3/2017
20.03 CB DELIVEROOFR 17/03/17 20.03.17, ,15, , ,20/3/2017
20.03 CB UBER 17/03/17 20.03.17, ,12.87, , ,20/3/2017
20.03 CB INDIGO PARIS 18/03/17 20.03.17, ,7.2, , ,20/3/2017
20.03 CB TRAVELGENIO 16/03/17 20.03.17, ,224.26, , ,20/3/2017
20.03 CB TRAVELGENIO 16/03/17 20.03.17, ,277.39, , ,20/3/2017
20.03 CB TRAVELGENIO 16/03/17 20.03.17, ,                    .               277.39, , ,20/3/2017
27.03 CB UBER 24/03/17 27.03.17, ,8.7, , ,27/3/2017
27.03 CB MICROMANIA IT 25/03/17 27.03.17, ,127.96, , ,27/3/2017
27.03 CB DARTY 09 25/03/17 27.03.17, ,129.99, , ,27/3/2017
27.03 CB ILE AUX SINGES 24/03/17 27.03.17, ,71.5, , ,27/3/2017
27.03 CB GIRASOLE DUE 25/03/17 27.03.17, ,12.15, , ,27/3/2017
28.03 CB PAYPAL 26/03/17 28.03.17, ,42.75, , ,28/3/2017
28.03 COTISATION MENSUELLE CARTE 4162 28.03.17, ,                 3.55                    ., , ,28/3/2017
29.03 CB RETRAIT DU 29/03 LCL CROISSY SUR 29.03.17, ,20, , ,29/3/2017
29.03 CB L'ESSENTIEL B. 28/03/17 29.03.17, ,3.65, , ,29/3/2017
29.03 PRLV SEPA SFR FIXE ADSL 29.03.17, ,42.98, , ,29/3/2017
30.03 LCL A LA CARTE 30.03.17, ,0.25, , ,30/3/2017
31.03 CB CARREFOURMARKET 27/03/17 31.03.17, ,30.7, , ,31/3/2017
31.03 CB DELIVEROOFR 26/03/17 31.03.17, ,18.4, , ,31/3/2017
31.03 CB UBER FR MAR29 NF 29/03/17 31.03.17, ,14.84, , ,31/3/2017
31.03 CB LE HAVANE CAFE 30/03/17 31.03.17, ,28.7, , ,31/3/2017
03.04 CB RETRAIT DU 31/03 03.04.17, ,21, , ,3/4/2017
03.04 CB L'ESSENTIEL B. 31/03/17 03.04.17, ,5.8, , ,3/4/2017
03.04 CB DELIVEROOFR 31/03/17 03.04.17, ,18.4, , ,3/4/2017
03.04 CB LE CHAT BOSSU 01/04/17 03.04.17, ,19.9, , ,3/4/2017
03.04 CB BOUIGAGANE 01/04/17 03.04.17, ,6.8, , ,3/4/2017
03.04 VIREMENT ADIDOR VOITURES 03.04.17, ,             2 500.00, , ,3/4/2017
04.04 CB RATP 03/04/17 04.04.17, ,20, , ,4/4/2017
05.04 CB RETRAIT DU 03/04/17 CDG T1 L 05.04.17, ,100, , ,5/4/2017
07.04 CB PAPAGEORGIOU & S 04/04/17 07.04.17, ,310, , ,7/4/2017
07.04 CB HONDOS CENTER ME 04/04/17 07.04.17, ,20.49, , ,7/4/2017
